kelime,tanımı nedir,ne işe yarar,nasıl yapılır,nerede bulunur,niçin yapılır,yanında neler bulunur,ne olunca yapılır,içinde neler bulunur,yapınca ne olur,hammaddesi nedir,neyi kimi yapılır,üst kavramı nedir,kim ne ile yapılır,kim kullanır,neye kime yapılır,sıfatları,nerede yapılır,rengi,kim ne yapar,şekli nasıl,fiziksel zihinsel,canlı cansız
kalem,['yaz yazma aracı'],['yazma'],,"['çanta', 'maket', 'sıra', 'iş yeri', 'sınıf', 'ev', 'kalemlik', 'yazı yazmaya yarayan alet', 'ofis', 'kırtasiye', 'masa', 'kalemkutu', 'okul']",,"['uç', 'mürekkep']",,"['kalem ucu', 'grafit', 'tahta', 'mürekkep', 'defter', 'ağaç', 'kağıt', 'odun', 'karbon', 'kurşun', 'kitap', 'boya', 'kil grafit', 'uç', 'kömür']",,"['grafen', 'grafit', 'tahta', 'kauçuk', 'plastik', 'ahşap', 'kil', 'mürekkep', 'ağaç', 'bitki', 'petro', 'selüloz', 'karbon', 'çelik', 'kurşun', 'odun', 'kömür']",,"['malzeme', 'eşya', 'ofis araçları', 'plastik', 'tahta', 'yazı', 'ağaç', 'obje', 'kırtasiye', 'ofis malzemeleri', 'araç', 'alet', 'kurşun', 'cansız']",,"['öğretmen', 'balağan', 'öğrenci']",,['her renk'],,"['yeşil', 'değişken', 'hepsi', 'siyah', 'mavi', 'pembe', 'herkes', 'sarı', 'her renk', 'kırmızı', 'kahverengi', 'tüm renkler', 'sıyah', 'kırmzı', 'her renk olur']",,"['ince', 'uzun']",,['cansız']
kalemtrağ,['kurşun kalemin ucunu sivrilmek iğin kullanılan alet'],['kalem ağma'],,"['masa', 'kalemlik', 'sıra']",,"['silgi', 'kalem']",,"['plastik', 'jilet']",,"['plastik', 'jilet']",,['ofis araçları'],,['öğrenci'],,,,,,['dikdörtgen'],,['cansız']
kalemtraş,"['kalem törpüleyici', 'kurşun kalemlerin ucunu sivrilmek için kullanılan alet', 'kalemin ucunu sivrilmeye yarayan araç', 'kurşun kalemin ucunu açmaya yarayan alet', 'kalemlerin uçlarını tıraş etmede kullanılan kırtasiye malzemesidir', 'kurşun kalem ucunu açmak için kullanılan bir araç', 'kalem açmaya yarayan araç', 'kalemi açmak için kullanılan araç', 'kalemin ucunu açmayı sağlayan alet', 'kalem uçu açmaya yarayan araç', 'kalemin ucu açmak için kullanılır', 'kurşun kalemin ucunu sivrilmek için kullanılan alet', 'kalem açmak için kullanılan alet', 'kalemtıraş', 'kurşun kalemin ucu yöneldiğinde sivrilmek için kullanılan araç', 'kurşun kalemleri açmak için kullanılır', 'körelen kurşun kalemi açmak için kullanılan araç', 'kalemlerin ucunu açmak için kullanılan gereç', 'kalemlerin uçlarını tıraş etmede kullanılan malzeme']","['açmak', 'kalemin ucunu açmaya yarar', 'kalemlerin ucunu sivrileştirmek', 'sivrilmek', 'kalem açmak', 'kalemin ucunu sivri halk getirmek', 'kalem uçlarını açarak güzel yazı yazmasını sağlar', 'kırtasiye malzemesi', 'kalem sivrilmek', 'kalemi kullanabilmeye', 'kalem ucu açmaya', 'kalem ucunu sivrilmek', 'kalem açma', 'kalem açmaya', 'kalem traş etmek', 'kurşun kalemleri açmaya yarar', 'kalem açar', 'kalem ucu açmak', 'kurşun kalem ucunu açmak']",,"['çanta', 'kalem ucu sivrilmeye yarayan aygıt', 'sıra', 'iş yeri', 'sınıf', 'ev', 'kalemlik', 'kalem kutusu', 'obje', 'ofis', 'kırtasiye', 'masa', 'kalemkutu', 'okul']",,"['öğrenci', 'çöp', 'öğretmen', 'kalem defter', 'kurşun kalem', 'kalem', 'defter', 'alet', 'kağıt', 'kırtasiye', 'silgi', ' zıt', 'kitap', 'boya']",,"['meta', 'kalem çöpü', 'jilet', 'demir', 'plastik', 'kalem', 'defter', 'bıçak', 'vida', 'silgi', 'kesici', 'çelik', 'kitap', 'keskin demir']",,"['meta', 'jilet', 'demir', 'plastik', 'plasti ve meta', 'ağaç', 'karbon', 'çelik', 'bakır']",,"['meta', 'malzeme', 'ofis araçları', 'eşya', 'plastik', 'kalem', 'obje', 'alet', 'kırtasiye', 'ofis malzemeleri', 'araç', 'cansız']",,"['yazar', 'öğrenci', 'öğrenciler', 'öğretmen', 'herkes', 'insanlar', 'kalem kullananlar', 'sivrilmek', 'insan', 'ressam']",,['her renk'],,"['meta', 'yeşil', 'değişken', 'hepsi', 'siyah', 'beyaz', 'mavi', 'pembe', 'sarı', 'herkes', 'her renk', 'keskin', 'kırmızı', 'gri', 'gümüş gri', 'tüm renkler', 'kırmzı', 'her renk olur']",,"['küp', 'dikdörtgen prizma', 'meta', 'değişken', 'küçük', 'dörtgen', 'dikdörtgen', 'kare', 'uzun ince']",,"['kırtasiye', 'cansız']"
kalkmak,"['uyanmak', 'oturuş durumundayken dik duruma gelmek', 'uyanıp yataktan ayrılmak', 'yerden yukarıya hareket etmek', 'minibüs', 'oturma eyleminden ayakta durma eylemine geçiş yapma', 'helikopter vb araçların uçuşa geçme hali', 'uçak', 'ayakları üzerinde dikilmek', 'yataktan çıkmak', 'bulunduğu yerde ayrılmak', 'yukarı doğru yükselmek', 'yatar uyur oturur pozisyondan doğrulmak', 'geçerliğini yitirmek', 'uyanmak yataktan ayrılmak', 'iki ayak üstünde durmaya geçmek', 'yerden yükseliği arttırmak', 'bir yerden doğrulmak', 'gitmek üzere yerinden ayrılmak', 'ayakların üzerinde durmak', 'oturma durumundan ayaklarının üzerine doğrulmak', 'gitmek üzere ayrılmak', 'otobüs vb araçların yola çıkması']",,"['tutunmak', 'veda', 'ayağa kalkarak', 'uyanmak', 'doğrulmak', 'uyanarak', 'dengede durarak', 'sabahları uyarılarak', 'dik duruma gelerek', 'hareket etmek', 'yürüyerek', 'dik durmak', 'acele', 'doğrularak', 'uykulu', 'ayak ve bacakları doğru açıya getirmek', 'kalkarak', 'hızlıca', 'hızlı', 'ayakların üzerinde durularak', 'yükselerek', 'yavaş']",,"['yolculuk', 'gitmek', 'uyanmak için', 'sosyalleşme', 'yataktan ayrılmak istenildiğinde', 'yürümek', 'okula gitmek', 'boşaltmak', 'yer değiştirmek', 'üşümek', 'hareket etmek', 'yola çıkmak', 'dik durmak', 'yer değiştirmek isteyince', 'kalkmak', 'güne başlamak', 'spor', 'yükselmek', 'yetişmek', 'koşmak', 'ayakta durmak için', 'iş yapmak', 'uymak', 'hareket etmeye hazırlanmak için', 'ilerlemek', 'işe gitmek']",,"['randevu', 'doymak', 'zaman gelince', 'tuvaleti gelmek', 'uyanınca', 'rahatsız olmak', 'sabah olduğunda', 'hareket etmek', 'saat geç', 'uyanmak', 'bir yere gitme ihtiyacında', 'sabah', 'gitmek', 'gitmek isteyince yapılır', 'hareket etmeye hazırlanmak için', 'geç olunca', 'yatınca', 'sabah olunca']",,"['dinlenmek', 'uyanırsın', 'ayakta durmak', 'uyanmak', 'doğrulmak', 'bulunduğumuz yerden ayrılır', 'uyanılır', 'yer değiştirmek', 'hareket etmek', 'yolculuk başlar', 'yüz yıkamak', 'ayakta', 'yükseğe çıkarmak', 'dikilmiş', 'görüşme', 'yetişmek', 'dik durulur', 'geç kalmazsın', 'kalkmış olunur', 'kan basıncı']",,"['saç', 'beden', 'uyku', 'insan']",,"['vücut', 'ayak', 'alam', 'bacak', 'ayak ile', 'kuvvet', 'baston', 'ayaklar']",,"['ayak', 'genelkurmay başkanı', 'tuvalet', 'ayağa', 'iş', 'gün', 'sese', 'insan', 'ayakları üstü', 'okul']",,"['yurtta', 'sınıf', 'otobüs', 'iş', 'masa', 'pist', 'oturulan yerde yapılır', 'evde', 'yatak', 'ev', 'firma', 'her yerde', 'yatakta', 'yatakda', 'her yer', 'misafirlik', 'koltuk', 'okul', 'sandalye', 'oda', 'yol', 'araba', 'toplu taşıma', 'ahır']",,"['insanlar kalkar', 'ınsan', 'öğrenci', 'öğretmen', 'at', 'uçak', 'canlılar', 'insan', 'hayvan', 'misafir']",,['fizksel'],
kalmak,"['bir dersten başarısız olmak', 'başarısız olmak', 'konaklamak', 'bulunduğu yeri ve durumu korumak', 'derste başarısız olmak', 'bir yerde bulunmak', 'bir konumda yaşamak', 'bir işin tamamlanamaması', 'olduğu konumu korumak', 'bir yerde yaşamak', 'girişilen yerde durmaya karar vermek', 'bir konuda', 'kişilerde seçim yapamama hali', 'olduğu', 'sınıf geçememe', 'bir yerde gecelemek', 'konaklama', 'bulunduğu durumu korumak', 'yeterli bot alınamadığında yaşanılan durum', 'olduğu yeri ve durumu korumak', 'gece orada yatmak', 'sürdürmek', 'bir yerde konaklamak']",,"['başarısız olmak', 'erken gelmek', 'bulunmak', 'ikamet ederek', 'düşük bot alarak', 'ders çalışmamak', 'gitmeyerek', 'uzun', 'izin alarak', 'oturarak', 'ders puanı düşük gelerek', 'yerini değiştirmeyerek', 'yaşamak', 'isteyerek', 'durmak', 'tembellik yapmak', 'sabitlemek', 'sınavdan düşük bot almak', 'başarızlık', 'yeterli bot alınamayarak', 'ücretli']",,"['durumu korumak', 'konaklamak', 'çalışmamak', 'barınmak', 'yeterince ders çalışılmadığına', 'geceyi geçirmek', 'tekrar etmek', 'uyumak', 'değiştirmek istemediğimize yapılır', 'öğrenme', 'beklemek', 'yatmak', 'bulunmak', 'geç olmak']",,"['otobüsü kaçırmak', 'başarısız olmak', 'akşam', 'gitmek istemediğimize', 'geç olunca', 'ders', 'sınav', 'uyumak', 'sınava girince', 'çalışmamak', 'başarısız', 'bir yere gitmek', 'zorunda', 'bir yere varmak', 'düşük bot', 'gitmemek', 'yorulmak', 'geç', 'üniversite kazanınca', 'yetersiz bilgi olduğunda', 'ders çalışılmasına', 'erken gitmek', 'ısrar olunca']",,"['sınıf tekrar etmek', 'başarısız olmak', 'gün geçmek', 'değiştirmemiş oluruz', 'dersten kalırsın', 'bulunmak', 'durumu korumak', 'üzülmek', 'uyumak', 'mutsuz olmak', 'yorgunluk', 'kalmak', 'mutsuz', 'misafirlik', 'dersten kalınır', 'konumu korumuş', 'yatmak', 'tekrar', 'barınmış', 'ders tekrarlanır', 'dersi tekrar almak', 'konaklama', 'korkmak', 'oturmak']",,"['sınav', 'eşya', 'arkadaş', 'yolcu', 'nesne', 'akraba', 'insan', 'ders']",,"['sınav', 'aile', 'eş', 'bilinç', 'öğrenci', 'arkadaş', 'belge', 'bilet', 'bot', 'tek', 'battaniye', 'tembellik', 'düşük bot', 'istek', 'insan', 'beden', 'yurt']",,"['sınav', 'kalkış saati', 'eşya', 'derste', 'hoca', 'öğretmen', 'etkinlik', 'etüt', 'yatıya', 'ders', 'hayvan', 'ev sahibi', 'geç', 'insan', 'derse']",,"['terminali', 'yurtta', 'üniversite', 'sınıf', 'işyeri', 'dershane', 'sınav', 'bina', 'evde', 'ev', 'otel', 'çadır', 'okulda', 'firma', 'derste', 'misafirlik', 'yurt', 'okul', 'oda', 'iş yeri', 'yol', 'araba', 'olduğumuz yerde']",,"['ınsan', 'personel', 'öğrenci', 'öğrenciler', 'eşya', 'arkadaş', 'canlı', 'canlılar', 'nesne', 'akraba', 'çalışan', 'hayvan', 'insan', 'misafir']",,['zihinsel'],
kalorifer,['evleri satmak iğin kullanılan madde'],['ısınma'],,"['binalar', 'dükkan', 'bina', 'evler', 'iş yeri', 'maket', 'oda', 'ev', 'apartman', 'ofis', 'iş', 'işyerleri', 'araba', 'işyeri', 'ısınma cihazı', 'cami', 'hastane', 'okul']",,['duvar'],,"['buhar', 'duvar', 'meta', 'su', 'sıvı', 'hava', 'halı', 'boru', 'su buharı', 'çelik', 'ısı', 'sıcak su', 'sıcak buhar', 'kömür']",,"['meta', 'petek yağı', 'su', 'demir', 'plastik', 'sıvı', 'sağ', 'karbon', 'çelik', 'kömür']",,"['meta', 'tesisat sistemi', 'malzeme', 'ısıtma araçları', 'eşya', 'ısıtıcı', 'demir', 'ısıtma', 'alet', 'araç', 'nesne', 'ısı', 'cansız', 'ısınma', 'makine', 'tesisat', 'radyatör']",,['herkes'],,['beyaz'],,"['krem', 'değişken', 'beyaz', 'mavi', 'sarı', 'herkes', 'kahverengi', 'gri']",,['dikdörtgen'],,['cansız']
kalp,['kan pompalayan organ'],['kan pompalama'],,"['göğüs kafesi', 'kan pompalayan organ', 'vücut', 'vücutta', 'göğüs orta boşluğu', 'göğüs', 'canlı', 'canlıların vücudu', 'bazı canlıların vücudunda', 'insan ve hayvanlarda', 'insan', 'hayvan', 'beden', 'memeli']",,"['kas', 'hücre', 'damar']",,"['aort', 'kapakçıklar', 'kirli ve temiz kan', 'damarlar', 'hücre', 'kas', 'oksijen', 'kaburga', 'damar', 'odacık', 'kan', 'odacıklar']",,"['meta', 'hücre', 'kas', 'et', 'doğal', 'kas hücresi', 'karbon', 'lif', 'proteini', 'kalp hücresi', 'kan', 'doku']",,"['organ', 'canlı', 'dolaşım sistemi', 'anatomi', 'insan', 'hayvan']",,['memeliler'],,['kırmızı'],,"['pembe', 'herkes', 'her renk', 'kırmızı', 'koyu kırmızı', 'kğrmğzğ']",,"['armut benzeri', 'yuvarlak', 'ova', 'kalp', 'amorf', 'yassı', 'asimetrik koni', 'düzgün olmayan çokgen', 'oyuntulu yuvarlak', 'küre', 'proteini', 'elips', 'daire', 'üçgen']",,['canlı']
kalsiyum,['bir eğit elementi'],['kemik güçlendirme'],,"['su', 'vücut', 'süt', 'alçı', 'vücud', 'yumurta kabuğu', 'metalik bir elementi', 'yoğurt', 'ıspanak', 'doğa', 'çimento', 'maden', 'kan', 'süt ürünleri', 'diş', 'doğada serbest', 'besin', 'ilaç', 'kemik', 'peynir', 'doğada']",,"['su', 'vitamin', 'süt', 'kahve', 'yoğurt', 'kireç', ' vitamini', 'fosfat', 'elementi', 'fosfor', 'sodyum', 'klor', 'potasyum', 'magnezyum', 'kan', 'çinko', 'malzeme', 'demir', 'eleman', 'makine', 'minerali', 'kemik', 'toprak', 'et', 'ilik', 'karbon', 'lityum']",,"['tuz', 'fosfat', 'karbonat', 'toprak', 'elementi', 'vitamin', 'atomu', 'sodyum', 'cevher', 'klor', 'hidroksit', 'taş', 'kristaller', 'kalsiyum', 'saf madde', 'çekirdek']",,"['tuz', 'hammade', 'oksid', 'atomu', 'nötron', 'sodyum', 'proton', 'hidroksit', 'atomu parçacıkları', 'meta molekülü', 'kalsiyum', 'minerali', 'elektron']",,"['vitamin', 'elementi', 'cansız', 'madde', 'minerali']",,['insan'],,['beyaz'],,"['siyah', 'beyaz', 'sarı', 'uzman kişi', 'her renk', 'yok', 'kırmızı', 'renksiz', 'metalik']",,"['şekilsiz', 'yuvarlak', 'değişken', 'mikroskobik', 'toz', 'düzgün olmayan çokgen', 'küre', 'meta molekülü', 'tanecik']",,['cansız']
kamera,['videos veya fotoğraf üretme makinesi'],"['fotoğraf çekme', 'videos çekme']",,"['mağaza', 'film', 'fotoğraf makinesi', 'bilgisayar', 'sınıf', 'fotoğrafçı', 'hareketli görüntü kaydeden cihaz', 'fotoğraf makineleri', 'işyeri', 'sert', 'telefonlar', 'çanta', 'doğa', 'film seti', 'havalimani', 'ev', 'mağazalarda', 'ofis', 'ajans', 'okul', 'kafe', 'iş yeri', 'düğün salonu', 'telefon', 'stüdyo', 'cep telefonu', 'kamera cihazı', 'araba', 'dolap']",,"['göz', 'fotoğraf']",,"['kablo', 'film', 'elektronik devre', 'mercek', 'hafıza kartı', 'işlemci', 'lenf', 'düğme', 'vida', 'objektif', 'su kart', 'optik', 'sensör', 'tripod', 'kart', 'batarya']",,"['meta', 'anakart', 'mercek', 'polimer malzeme', 'ayna', 'elektronik malzeme', 'demir', 'kauçuk', 'lenf', 'plastik', 'yarıiletken', 'karbon', 'çelik', 'bakır', 'cam', 'devre', 'kayıt alanı']",,"['film ekipmanları', 'yayın', 'eşya', 'elektronik alet', 'teknoloji', 'görüntüleyiciler', 'alet', 'araç', 'teknolojik alet', 'cansız', 'elektronik', 'makine', 'cam', 'elektronik eşya']",,['insan'],,['siyah'],,"['saydam', 'değişken', 'hepsi', 'siyah', 'beyaz', 'mavi', 'her renk', 'kameraman', 'kırmızı', 'gümüş', 'gri', 'renksiz']",,['yuvarlak'],,['cansız']
kamp yapmak,"['çadırda kalmak', 'doğada konaklamak', 'dinlenmek ya ya bir hazırlık için bir kampta bir süre yaşamak', 'kampa girmek', 'geçici olarak bir konumda kalmak', 'çadır içerisinde konaklama tatil yapma', 'düzenli ders çalışma', 'ormanda kalmak', 'doğada sınırlı bir gün geçirmek', 'ormanda konaklamak', 'doğada kısa süreli yaşamak', 'doğada bir bölgede yatılı kalmak', 'çadır ile doğada konaklamak', 'doğada kalmak', 'ormanda çatır kurularak yapılan eylem', 'açık havada çadır gibi bir yerde kalarak zaman geçirmek', 'dinlenmek ya ya bir spor yarışmasına vb gerektiği biçimde hazırlanmak için bir kampta bir süre yaşamak', 'bir yere çadır kurup gecelemek']",,"['ateş yakarak', 'eğlenceli', 'dış ortamda konaklamak', 'konaklamak', 'ormana giderek', 'sakin', 'yoğun', 'ateş yakılır', 'yaşayarak', 'hırsla', 'gitmek', 'malzemelerle', 'çadır kurarak', 'çadır kurularak', 'doğada çadır kurarak yapılır', 'adır kurulur', 'çadır kurmak']",,"['dinlenmek', 'sağlıklı olmak için', 'keyif almak', 'keşfetmek', 'eğlence', 'adrenaline', 'antreman', 'hobi için', 'rahatlamak', 'tatil yapmak', 'zaman geçirmek', 'stres atmak', 'tatil', 'barınmak', 'doğada vakit geçirmek için', 'şehir hayatından sıkılınca yapılır', 'mutlu olmak', 'sosyal aktivite', 'çalışmak', 'doğada zaman geçirmek', 'eğlenmek', 'zevk', 'keyif']",,"['canı isteyince', 'konaklamak için', 'tatil yapmak istendiğinde', 'etkinlik', 'istek', 'müsabaka', 'kış', 'yaz', 'toplanınca', 'kafa dinlemek istendiğinde', 'tatil', 'doğada vakt geçirmek istediğimizde', 'yorgunluk', 'deprem', 'istemek', 'gezmek', 'ormana gidince', 'istenilince', 'sıkılmak', 'uzaklaşmak istendiğinde', 'tembellik', 'gece', 'kamp alanına ulaşmak']",,"['kondüsyon', 'dinlenmek', 'keyif almak', 'keşfetmek', 'zevk almak', 'doğa ile bütünleşmek', 'eğlence', 'mutlu', 'rahatlamak', 'üşümek', 'tatil', 'mutlu olmak', 'eklenilmiş', 'doğada kalmak', 'eğlenilir', 'yorulmak', 'mutlu oluruz', 'çalışmak', 'eğlenmek', 'evlenirsin', 'dilenmek', 'çadır kurmak']",,"['çadır', 'arkadaşlarla', 'ateş', 'tabiat kampı']",,"['uyku tulumu', 'konserve', 'ekip', 'diğer izci arkadaşlarla', 'adır', 'arkadaşlar', 'tek', 'çadır', 'köpek', 'insan', 'dost', 'malzeme', 'tulum', 'mart', 'arkadaş', 'aile', 'ateş', 'alet', 'fener']",,"['doğa', 'adaya', 'orman', 'ormana', 'insan']",,"['çayır', 'göl kenarı', 'doğa', 'deniz kenarı', 'sahil', 'yayla', 'dağ', 'doğada', 'çadır', 'orman', 'saha', 'köy', 'ormanda', 'mezra', 'kamp alanı', 'kamp alanında']",,"['kampçı', 'maceracı', 'gezgin', 'sporcu', 'ınsan', 'öğrenci', 'öğretmen', 'dağcı', 'izci', 'insanlar', 'grup', 'canlılar', 'insan', 'turist', 'gençler']",,['fiziksel'],
kamyon,['çok eşya taşıyabilen büyğk arap'],['yğk takma'],,"['fabrika', 'garaj', 'galeri', 'şantiye', 'fark alanı', 'yol', 'otopark', 'otoban', 'orman', 'inşaatlarda', 'otoyol', 'inşaat', 'yük taşıyan büyük ve geniş araç', 'sokak']",,"['bisiklet', 'araba']",,"['ışık', 'yağ', 'hafriyat', 'yakıt', 'motoru', 'yük', 'ayna', 'eşya', 'kasa', 'pedalı', 'şöför', 'teker', 'akü', 'direksiyon', 'meta', 'malzeme', 'benzin', 'meyve', 'kum', 'koltuk', 'depo', 'mazot', 'yol', 'sebze', 'araba', 'koltuk kasa', 'tekerlek']",,"['meta', 'lastik', 'demir', 'kauçuk', 'plastik', 'karbon', 'çelik', 'motoru', 'bakır', 'yük', 'tekerlek']",,"['demir', 'taşıt', 'alet', 'vasıta', 'araç', 'araba', 'motorlu taşıt', 'cansız', 'nakliye', 'ağır vasıta']",,['şoför'],,['her renk'],,"['değişken', 'uzun', 'hepsi', 'geniş', 'beyaz', 'mavi', 'dar', 'sarı', 'siyah', 'her renk', 'kırmızı', 'gri', 'renkli', 'şoför']",,['dikdörtgen'],,['cansız']
kamçı,"['bir ucuna ip ya ya esnek bir plastik bağlı olan vurma aracı', 'sopa ucuna bağlanmış kırbaç', 'genellikle', 'ucuna deri veya ip bağlı vurma aracı', 'uzun deri sicim', 'dövme aracı', 'hayvanları terbiye etmek için kullanılan alet', 'dayak ve kontrol aracı', 'kamçı', 'öteki ucu herhangi bir işte kullanılmak için serbest durumda olan halat', 'lastiğini ip', 'bir ucuna ip', 'bir ucu bir yere bağlı', 'ince', 'sopa ucuna bağlanmış deri sen oluşan cisim', 'uzun olmayan bir sopa ucuna bağlanmış kırbaç', 'uzun olmayan bir sopa ucuna bağlanmış', 'demirleme kamçısı rıhtım hasarlarına karşı teknenizin güvenli bir şekilde koruma yoludur', 'yaklaşık o sopa boyunda olmak üzere serçeparmak kalınlığında ve yuvarlak kesilmiş deriden ya ya kalınca sicimden oluşan kırbaç', 'tek hücreli bazı canlıların hareket etmesini sağlayan yapı', 'kırbaç', 'bir ucunda ip olan dövme aracı', 'dışı deri kaplama bir sopa', 'deri vb bağlı olan vurma']","['vurmak', 'at yarışlarında atın hızlı koşması için ata vurulur', 'dövme aracıdır', 'hayvan terbiyesi', 'şiddet', 'hücre avlanması', 'hayvan eğitmek', 'hayvanları eğitmek ve insanları cezalandırmak', 'kamçılama', 'dövmek', 'rıhtım hasarlarına karşı gemiyi korumak', 'hayvanları dövmek', 'işkence etmek', 'atları eğitim', 'hareket', 'atları dizginlemeye yarar', 'kontrol aracı', 'kırbaçlamak', 'hayvan terbiye etmek', 'kamçılamak', 'tek hücrelilerin hareketini sağlar']",,"['gemi', 'hara', 'su', 'at üsütnde', 'fayton', 'hücre', 'ökaryot', 'at arabası', 'çiftlik', 'hayvana zarar vererek hızlandıran gereç', 'maket', 'hipodrom', 'ev', 'poligon', 'sirk', 'at yarışları', 'seyisler ve eski dönem soylular', 'at yarışlarında', 'iş yeri', 'öğlen', 'cezaevi', 'öglena', 'ahır', 'bakteri']",,"['gemi', 'su', 'eşek', 'kılıç', 'hücre zarı', 'sopa', 'deniz', 'urgan', 'at', 'çekirdek', 'eldiven', 'insan', 'pili', 'aslan', 'balta', 'ip', 'mitokondri', 'kırbaç', 'iplik', 'halat', 'alet', 'jokey', 'hayvan', 'eyer']",,"['urgan', 'mitokondri', 'hücre', 'sicim', 'demir', 'halat', 'at', 'mikrotübül', 'plastik', 'kayış', 'tahta sopa', 'eşek', 'ip', 'kordon', 'sopa', 'deri']",,"['', 'sırım', 'hücre', 'plastik', 'kauçuk', 'esnek polimer madde', 'sağ', 'petro', 'karbon', 'proteini', 'odun', 'ip', 'sopa', 'deri']",,"['kırbaç', 'hayvan eğitim ekipmanları', 'hücre', 'eşya', 'plastik', 'canlı', 'alet', 'yarışma', 'araç', 'nesne', 'organel', 'cansız', 'hayvan', 'bakteri', 'uzuv', 'deri']",,"['at eğitmeni', 'zindan görevlileri', 'animatör', 'seyisler ve bazı insanlar', 'gaddar insan', 'organizmalar', 'bakteriler', 'jokerler', 'gemiciler', 'insanlar', 'tek hücreliler', 'insan', 'seyis', 'at binicisi', 'zarar verme', 'herkes', 'öğlen', 'jokey', 'öglena', 'bakteri', 'at binen', 'joker']",,['siyah'],,"['yeşil', 'siyah', 'turuncu', 'sarı', 'beyaz', 'herkes', 'her renk', 'kahverengi', 'renksiz', 'renkli']",,"['püsküllü', 'çubuk', 'şekilsiz', 'uzun', 'ince', 'silindir', 'uzun ip', 'uzun halat şeklinde', 'ınce', 'düz', 'uzun ince silindir', 'uzun ince', 'deri']",,"['ahır', 'canlı', 'cansız']"
kamğğ,"['kırbağ', 'bir eğit bitki']","['şiddet', 'üretim']",,"['deniz kenar', 'doğa', 'maket', 'bakteri']",,['rüzgar'],,"['ip', 'su', 'selüloz']",,"['ot', 'deri']",,"['bitki', 'alet']",,['insan'],,,,['sağ'],,"['ince', 'uzun']",,"['canlı', 'cansız']"
